City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,an nuhud,12.7,28.4333,26.29,26,13,2.42,SD,1713755977
176,la paz,-16.5,-68.15,7.02,82,4,0.79,BO,1713755817
177,takehara,34.3383,132.9167,16.19,94,100,1.48,JP,1713755978
178,eydhafushi,5.1033,73.0708,29.86,76,42,5.02,MV,1713755978
179,huicungo,-7.2833,-76.8,22.86,89,69,0.94,PE,1713755978
180,isola di capo rizzuto,38.96,17.0933,12.32,73,100,4.08,IT,1713755978
181,ujae,8.9322,165.7642,28.18,80,76,7.66,MH,1713755978
182,kuusamo,65.9667,29.1833,-10.17,95,95,3.49,FI,1713755979
183,ilulissat,69.2167,-51.1,-3.06,89,100,1.7,GL,1713755979
184,puerto maldonado,-12.6,-69.1833,27.33,73,100,1.06,PE,1713755716
185,kone,-21.0595,164.8658,26.49,78,100,1.82,NC,1713755980
186,spring creek,40.7266,-115.5859,12.74,45,47,1.1,US,1713755980
187,siyabuswa,-25.1132,29.0445,18.41,44,0,1.65,ZA,1713755980
188,mabaruma,8.2,-59.7833,23.86,82,97,1.55,GY,1713755980
189,pandan,14.0453,124.1694,29.78,70,59,4.04,PH,1713755980
190,kukuna,9.4,-12.6667,25.14,80,99,0.87,SL,1713755981
191,bayside,40.8424,-124.0637,10.06,88,100,1.55,US,1713755981
192,barra de santo antonio,-9.4047,-35.5072,26.34,85,62,1.08,BR,1713755982
193,g'uzor,38.6214,66.2522,21.51,40,64,2.26,UZ,1713755982
194,saipan,15.1355,145.701,27.98,74,18,6.97,MP,1713755982
195,petropavlovsk-kamchatsky,53.0452,158.6483,1.73,75,28,1.55,RU,1713755982
196,prado,-17.3411,-39.2208,23.02,93,46,2.3,BR,1713755982
197,tucuma,-0.1833,-50.05,24.79,95,100,2.18,BR,1713755983
198,hilo,19.7297,-155.09,22.89,81,34,4.08,US,1713755779
199,whitehorse,60.7161,-135.0538,6.02,67,10,2.82,CA,1713755401
200,sandnessjoen,66.0217,12.6316,1.54,65,2,7.83,NO,1713755983
